book,created_at,amount,maker_side,price,tid
btc_mxn,2022-11-26T06:28:51+0000,0.00458400,buy,320180,84637917
btc_mxn,2022-11-26T06:28:51+0000,0.00340000,buy,320190,84637916
btc_mxn,2022-11-26T06:28:45+0000,0.00293575,sell,320420,84637914
btc_mxn,2022-11-26T06:28:45+0000,0.00018518,sell,320370,84637913
btc_mxn,2022-11-26T06:28:14+0000,0.00002955,buy,320130,84637905
btc_mxn,2022-11-26T06:27:23+0000,0.02128860,buy,320090,84637883
btc_mxn,2022-11-26T06:26:01+0000,0.01487757,buy,319880,84637868
btc_mxn,2022-11-26T06:26:01+0000,0.01250000,buy,320000,84637866
btc_mxn,2022-11-26T06:24:30+0000,0.00045304,sell,320060,84637841
btc_mxn,2022-11-26T06:24:27+0000,0.02099453,sell,320100,84637840
btc_mxn,2022-11-26T06:24:27+0000,0.00087050,sell,320090,84637839
btc_mxn,2022-11-26T06:23:47+0000,0.01280650,sell,320150,84637825
btc_mxn,2022-11-26T06:23:14+0000,0.03533500,buy,320030,84637795
btc_mxn,2022-11-26T06:22:06+0000,0.00007799,sell,320540,84637731
btc_mxn,2022-11-26T06:21:09+0000,0.00003121,sell,320440,84637700
btc_mxn,2022-11-26T06:21:02+0000,0.00010997,sell,320590,84637699
btc_mxn,2022-11-26T06:21:02+0000,0.00125938,sell,320430,84637698
btc_mxn,2022-11-26T06:20:21+0000,0.00139000,buy,320490,84637670
btc_mxn,2022-11-26T06:19:49+0000,0.00003168,buy,320470,84637658
btc_mxn,2022-11-26T06:18:37+0000,0.00099906,sell,320420,84637630
btc_mxn,2022-11-26T06:18:35+0000,0.00020686,buy,320350,84637629
btc_mxn,2022-11-26T06:18:27+0000,0.00091200,buy,320330,84637628
btc_mxn,2022-11-26T06:18:25+0000,0.00122552,sell,320420,84637627
btc_mxn,2022-11-26T06:18:25+0000,0.00033494,sell,320410,84637626
btc_mxn,2022-11-26T06:17:49+0000,0.00018355,sell,320410,84637620
btc_mxn,2022-11-26T06:16:43+0000,0.00048386,sell,320340,84637595
btc_mxn,2022-11-26T06:16:31+0000,0.01419181,sell,320570,84637589
btc_mxn,2022-11-26T06:16:31+0000,0.01646040,sell,320390,84637588
btc_mxn,2022-11-26T06:16:31+0000,0.00055210,sell,320200,84637587
btc_mxn,2022-11-26T06:15:56+0000,0.01824700,buy,320290,84637583
btc_mxn,2022-11-26T06:15:54+0000,0.00424736,buy,320290,84637580
btc_mxn,2022-11-26T06:15:54+0000,0.00090000,buy,320300,84637579
btc_mxn,2022-11-26T06:15:54+0000,0.00427808,buy,320560,84637578
btc_mxn,2022-11-26T06:15:30+0000,0.00243431,sell,320490,84637572
btc_mxn,2022-11-26T06:15:30+0000,0.00116847,sell,320490,84637571
btc_mxn,2022-11-26T06:15:10+0000,0.00062428,sell,320370,84637562
btc_mxn,2022-11-26T06:14:52+0000,0.01186240,sell,320340,84637554
btc_mxn,2022-11-26T06:13:51+0000,0.00002519,buy,320270,84637539
btc_mxn,2022-11-26T06:13:17+0000,0.00003892,sell,320370,84637522
btc_mxn,2022-11-26T06:13:13+0000,0.00031207,sell,320440,84637519
btc_mxn,2022-11-26T06:11:41+0000,0.00572678,buy,320110,84637497
btc_mxn,2022-11-26T06:11:41+0000,0.00117322,buy,320280,84637496
btc_mxn,2022-11-26T06:09:32+0000,0.00339417,buy,320330,84637468
btc_mxn,2022-11-26T06:09:32+0000,0.01140000,buy,320330,84637467
btc_mxn,2022-11-26T06:09:32+0000,0.00041183,buy,320520,84637466
btc_mxn,2022-11-26T06:09:17+0000,0.00997328,buy,320570,84637457
btc_mxn,2022-11-26T06:09:17+0000,0.00218272,buy,320700,84637456
btc_mxn,2022-11-26T06:08:14+0000,0.00031155,sell,320980,84637433
btc_mxn,2022-11-26T06:06:31+0000,0.00622878,sell,321090,84637414
btc_mxn,2022-11-26T06:06:27+0000,0.00622878,sell,321090,84637409
btc_mxn,2022-11-26T06:06:06+0000,0.01829519,sell,321150,84637405
btc_mxn,2022-11-26T06:05:24+0000,0.00182500,buy,321000,84637396
btc_mxn,2022-11-26T06:05:12+0000,0.00004753,buy,321060,84637392
btc_mxn,2022-11-26T06:04:28+0000,0.09648552,sell,321100,84637383
btc_mxn,2022-11-26T06:02:43+0000,0.00031130,sell,321230,84637353
btc_mxn,2022-11-26T06:01:18+0000,0.00085129,buy,321170,84637345
btc_mxn,2022-11-26T06:01:18+0000,0.00007481,buy,321480,84637344
btc_mxn,2022-11-26T06:00:53+0000,0.00061684,buy,321480,84637337
btc_mxn,2022-11-26T06:00:14+0000,0.00241896,buy,321480,84637333
btc_mxn,2022-11-26T06:00:14+0000,0.00094304,buy,321490,84637332
btc_mxn,2022-11-26T06:00:14+0000,0.09448500,buy,321490,84637331
btc_mxn,2022-11-26T06:00:00+0000,0.00012697,buy,321490,84637329
btc_mxn,2022-11-26T05:59:58+0000,0.00598207,buy,321490,84637327
btc_mxn,2022-11-26T05:59:17+0000,0.05450400,buy,321490,84637318
btc_mxn,2022-11-26T05:58:30+0000,0.03650289,buy,321490,84637303
btc_mxn,2022-11-26T05:58:22+0000,0.06220840,sell,321500,84637298
btc_mxn,2022-11-26T05:58:05+0000,0.00221052,buy,321490,84637291
btc_mxn,2022-11-26T05:57:54+0000,0.00001000,buy,321490,84637287
btc_mxn,2022-11-26T05:57:53+0000,0.00081944,buy,321490,84637285
btc_mxn,2022-11-26T05:57:40+0000,0.00005369,buy,321490,84637282
btc_mxn,2022-11-26T05:57:32+0000,0.00049573,sell,321550,84637280
btc_mxn,2022-11-26T05:57:32+0000,0.00572503,sell,321500,84637279
btc_mxn,2022-11-26T05:57:29+0000,0.01823500,buy,321490,84637276
btc_mxn,2022-11-26T05:57:26+0000,0.01821548,buy,321490,84637275
btc_mxn,2022-11-26T05:57:21+0000,0.10421021,buy,321490,84637271
btc_mxn,2022-11-26T05:56:24+0000,0.01099085,buy,321490,84637255
btc_mxn,2022-11-26T05:56:14+0000,0.01306600,buy,321490,84637254
btc_mxn,2022-11-26T05:55:03+0000,0.01528000,buy,321490,84637230
btc_mxn,2022-11-26T05:54:37+0000,0.00031091,sell,321640,84637223
btc_mxn,2022-11-26T05:54:17+0000,0.00124357,buy,321490,84637218
btc_mxn,2022-11-26T05:53:53+0000,0.00665533,buy,321490,84637214
btc_mxn,2022-11-26T05:53:25+0000,0.00074634,sell,321570,84637209
btc_mxn,2022-11-26T05:53:20+0000,0.02711470,buy,321490,84637207
btc_mxn,2022-11-26T05:53:20+0000,0.00228993,buy,321500,84637206
btc_mxn,2022-11-26T05:53:13+0000,0.01610868,buy,321490,84637203
btc_mxn,2022-11-26T05:53:13+0000,0.00215379,buy,321500,84637202
btc_mxn,2022-11-26T05:53:06+0000,0.01243897,sell,321570,84637199
btc_mxn,2022-11-26T05:52:38+0000,0.00984034,buy,321490,84637196
btc_mxn,2022-11-26T05:52:38+0000,0.00232566,buy,321500,84637195
btc_mxn,2022-11-26T05:52:06+0000,0.01599378,buy,321490,84637191
btc_mxn,2022-11-26T05:52:06+0000,0.00328545,buy,321500,84637189
btc_mxn,2022-11-26T05:51:38+0000,0.00166000,buy,321500,84637184
btc_mxn,2022-11-26T05:51:35+0000,0.00200000,buy,321500,84637183
btc_mxn,2022-11-26T05:51:34+0000,0.00316666,buy,321500,84637182
btc_mxn,2022-11-26T05:51:34+0000,0.00036869,buy,321510,84637181
btc_mxn,2022-11-26T05:50:36+0000,0.02021773,sell,321500,84637176
btc_mxn,2022-11-26T05:49:59+0000,0.00023469,buy,321490,84637170
btc_mxn,2022-11-26T05:49:52+0000,0.01583100,buy,321490,84637167
btc_mxn,2022-11-26T05:49:52+0000,0.00240000,buy,321500,84637166
btc_mxn,2022-11-26T05:49:52+0000,0.00028579,buy,321490,84637165
