book,created_at,amount,maker_side,price,tid
btc_mxn,2023-02-19T21:58:23+0000,0.10054430,sell,451590,90113111
btc_mxn,2023-02-19T21:58:22+0000,0.10054430,sell,451590,90113110
btc_mxn,2023-02-19T21:58:22+0000,0.15310180,sell,451590,90113109
btc_mxn,2023-02-19T21:58:21+0000,0.01235220,sell,451600,90113108
btc_mxn,2023-02-19T21:58:21+0000,0.00090000,sell,451590,90113107
btc_mxn,2023-02-19T21:58:21+0000,0.01201720,sell,451620,90113106
btc_mxn,2023-02-19T21:58:20+0000,0.00684730,sell,451620,90113105
btc_mxn,2023-02-19T21:58:20+0000,0.01185480,sell,451640,90113104
btc_mxn,2023-02-19T21:58:19+0000,0.10435069,buy,451550,90113101
btc_mxn,2023-02-19T21:58:19+0000,0.01201720,buy,451630,90113100
btc_mxn,2023-02-19T21:58:13+0000,0.00066000,buy,451650,90113094
btc_mxn,2023-02-19T21:58:11+0000,0.00377000,buy,451650,90113090
btc_mxn,2023-02-19T21:57:40+0000,0.00079150,buy,451630,90113077
btc_mxn,2023-02-19T21:57:33+0000,0.03304688,buy,451610,90113075
btc_mxn,2023-02-19T21:57:28+0000,0.00802836,buy,451540,90113073
btc_mxn,2023-02-19T21:57:25+0000,0.00170664,buy,451570,90113068
btc_mxn,2023-02-19T21:57:10+0000,0.02422050,buy,451450,90113062
btc_mxn,2023-02-19T21:57:04+0000,0.22278499,buy,451530,90113056
btc_mxn,2023-02-19T21:56:26+0000,0.00332123,sell,451640,90113027
btc_mxn,2023-02-19T21:56:07+0000,0.00004428,sell,451650,90113018
btc_mxn,2023-02-19T21:55:51+0000,0.02590559,sell,451640,90113011
btc_mxn,2023-02-19T21:55:41+0000,0.00022141,sell,451650,90113004
btc_mxn,2023-02-19T21:55:34+0000,0.02745626,buy,451400,90113000
btc_mxn,2023-02-19T21:54:49+0000,0.00120346,sell,451640,90112979
btc_mxn,2023-02-19T21:54:40+0000,0.00513293,sell,451520,90112974
btc_mxn,2023-02-19T21:54:34+0000,0.00010609,sell,451520,90112969
btc_mxn,2023-02-19T21:52:54+0000,0.00017729,sell,451240,90112897
btc_mxn,2023-02-19T21:52:32+0000,0.00221607,sell,451250,90112886
btc_mxn,2023-02-19T21:51:40+0000,0.01548895,sell,451390,90112853
